datetime,hour,weekday,day,is_weekend,is_holiday,temperature,weather,orders_total,region_A_orders,region_B_orders,region_C_orders,region_D_orders,region_E_orders
2024-01-01 00:00:00,0,0,1,0,1,26.4901424590337,1,53,27,10,4,10,2
2024-01-01 01:00:00,1,0,1,0,1,24.672472451470185,0,30,17,6,5,1,1
2024-01-01 02:00:00,2,0,1,0,1,27.117589678674914,2,15,2,4,7,1,1
2024-01-01 03:00:00,3,0,1,0,1,29.830859052302806,1,12,3,2,5,2,0
2024-01-01 04:00:00,4,0,1,0,1,24.646534842855004,0,11,3,3,4,1,0
2024-01-01 05:00:00,5,0,1,0,1,24.73378300280582,1,29,12,4,8,1,4
2024-01-01 06:00:00,6,0,1,0,1,30.26099800895161,0,65,35,8,2,18,2
2024-01-01 07:00:00,7,0,1,0,1,27.912789582807296,0,78,18,3,21,25,11
2024-01-01 08:00:00,8,0,1,0,1,24.2891415796364,2,67,28,24,8,2,5
2024-01-01 09:00:00,9,0,1,0,1,27.412271088036345,0,126,19,29,56,12,10
2024-01-01 10:00:00,10,0,1,0,1,24.481304349039196,0,152,31,12,92,16,1
2024-01-01 11:00:00,11,0,1,0,1,24.561268264491467,2,235,100,57,53,11,14
2024-01-01 12:00:00,12,0,1,0,1,26.771171447374638,1,242,139,49,17,21,16
2024-01-01 13:00:00,13,0,1,0,1,20.392191403705674,0,247,84,51,50,46,16
2024-01-01 14:00:00,14,0,1,0,1,21.043939936512373,0,160,28,48,69,10,5
2024-01-01 15:00:00,15,0,1,0,1,24.618399334477598,0,124,39,38,15,17,15
2024-01-01 16:00:00,16,0,1,0,1,23.353237648597382,1,122,9,24,46,37,6
2024-01-01 17:00:00,17,0,1,0,1,27.420836109081925,0,131,23,14,57,6,31
2024-01-01 18:00:00,18,0,1,0,1,23.840272423838677,0,206,78,47,53,22,6
2024-01-01 19:00:00,19,0,1,0,1,22.4135649546009,3,191,54,48,26,25,38
2024-01-01 20:00:00,20,0,1,0,1,31.133428083433966,1,227,41,59,71,36,20
2024-01-01 21:00:00,21,0,1,0,1,26.14502635346187,0,191,17,18,74,63,19
